,Train Loss,Train ROUGE-L
Epoch 0,4.52565585,0.274129134
Epoch 1,3.595871676,0.312787041
Epoch 2,3.231903991,0.312091483
Epoch 3,3.014368071,0.333179036
Epoch 4,2.874893961,0.333871175
Epoch 5,2.765987786,0.335471461
Epoch 6,2.678907859,0.335607077
Epoch 7,2.600492704,0.359372092
Epoch 8,2.533948285,0.361768224
Epoch 9,2.476937666,0.366805554
Epoch 10,2.42302603,0.37378278
Epoch 11,2.375365863,0.345557689
Epoch 12,2.333036939,0.3926098
Epoch 13,2.293904442,0.349685671
Epoch 14,2.256085153,0.37400933
Epoch 15,2.221599417,0.381278032
Epoch 16,2.187470366,0.364033736
Epoch 17,2.157862746,0.37933907
Epoch 18,2.128278049,0.387182559
Epoch 19,2.096453309,0.386641906
Epoch 20,2.06918131,0.39594309
Epoch 21,2.043066262,0.390422313
Epoch 22,2.020221382,0.416465849
Epoch 23,1.99587414,0.404503346
Epoch 24,1.969538859,0.416443354
Epoch 25,1.947577616,0.419305018
Epoch 26,1.928059294,0.40647218
Epoch 27,1.905362977,0.413900613
Epoch 28,1.884145995,0.416111863
Epoch 29,1.866483299,0.41910704
