,Train Loss,Train BLEU,Train ROUGE-L,Test Loss,Test BLEU,Test ROUGE-L
Epoch 0,5.4453840255737305,0.18864111435108297,0.24419243516415123,4.729238927364349,0.2816966474056244,0.34124542539939284
Epoch 1,4.229207992553711,0.26966990894220005,0.37171882484841534,4.685880169272423,0.20719037111848593,0.31928832782432437
Epoch 2,3.9108190536499023,0.2100369345954084,0.38049541214319665,4.835907489061356,0.18620703043416142,0.34830072754994035
Epoch 3,3.671940803527832,0.18122665631020163,0.3455116178576402,4.998411163687706,0.16185661824420094,0.3297583293169737
Epoch 4,3.4949533939361572,0.17566613454049027,0.34024977789619776,5.146582335233688,0.15634878282435238,0.31860667932778597
Epoch 5,3.366788864135742,0.17292107729695913,0.34762715648009085,5.279147982597351,0.17655154131352901,0.3463288457132876
Epoch 6,3.2661778926849365,0.17470375372199562,0.3435996950376691,5.368064612150192,0.16279465123079717,0.361990075558424
Epoch 7,3.173738718032837,0.16743374392976912,0.3465834268200116,5.460507661104202,0.17785840667784214,0.3333114027045667
Epoch 8,3.0912463665008545,0.18158787260140022,0.3560252112197125,5.560334756970406,0.16556618129834533,0.340325141325593
Epoch 9,3.021040916442871,0.1834936074501886,0.34772869486977737,5.616979017853737,0.1619368391111493,0.3486999860033393
Epoch 10,2.9590978622436523,0.17608113498903635,0.3537997693762066,5.68980972468853,0.17752538458444178,0.3395970272831619
Epoch 11,2.901444435119629,0.17862765209412013,0.3556462193098594,5.762110933661461,0.1611894490197301,0.28833484346978366
Epoch 12,2.8462324142456055,0.16787054430781387,0.331919300861246,5.827792376279831,0.15767953637987375,0.30190287018194795
Epoch 13,2.796374559402466,0.1662244295745384,0.32644048127837066,5.897205859422684,0.1568933397065848,0.26677104155533016
Epoch 14,2.75008487701416,0.15877486372322547,0.31242868257319834,5.952171117067337,0.16205298015847802,0.28317290381528437
Epoch 15,2.7081618309020996,0.16603119108151262,0.31444182211723853,6.007160305976868,0.1705364603549242,0.34143834561109543
Epoch 16,2.669858694076538,0.1595831116822761,0.3254797267397558,6.0528761595487595,0.15896859928034246,0.2758866474032402
Epoch 17,2.6317479610443115,0.1615592436058315,0.3126036901994953,6.125447764992714,0.15707176411524415,0.29164971597492695
Epoch 18,2.599132537841797,0.16414180468386552,0.298446110970392,6.128104418516159,0.16622177395038307,0.2739546149969101
Epoch 19,2.5671520233154297,0.16931633545657782,0.3027517596098382,6.1732513308525085,0.15003309515304863,0.27291970723308623
Epoch 20,2.5370383262634277,0.15657375629727296,0.31115671388042254,6.262978985905647,0.1587083914782852,0.30180920008569956
Epoch 21,2.5092759132385254,0.16709552529289967,0.295089060748656,6.274611279368401,0.1602733505424112,0.27961692376993597
Epoch 22,2.4831931591033936,0.163505393571741,0.3207345266980449,6.320363685488701,0.15968813211657107,0.3078676527366042
Epoch 23,2.4565465450286865,0.15840517799919984,0.28457919930613884,6.358204796910286,0.15940279490314424,0.32018264615908265
Epoch 24,2.4333980083465576,0.15897389988260946,0.2957470742032284,6.401213854551315,0.16101902234368026,0.3049132479354739
Epoch 25,2.408379316329956,0.1580429738314133,0.297673066154005,6.427824169397354,0.16545568802393973,0.30379377165809274
Epoch 26,2.3850367069244385,0.1705554536595119,0.3147661690050223,6.449125438928604,0.15913919126614928,0.2795104682445526
Epoch 27,2.3642752170562744,0.15757217668876874,0.29871104282187666,6.501377701759338,0.16122221294790506,0.31242085341364145
Epoch 28,2.342024564743042,0.1560609815275575,0.29710205491837555,6.526407778263092,0.15612625028006732,0.2870121896266937
Epoch 29,2.320429563522339,0.1657435294446044,0.3106379259641715,6.545496344566345,0.17717421147972345,0.3208891339600086
Epoch 30,2.3011536598205566,0.1610005106043628,0.28227470067190374,6.619311541318893,0.16542869643308222,0.30205910559743643
Epoch 31,2.280632495880127,0.1678566511456422,0.30393718130241226,6.6470693200826645,0.17701048031449318,0.29666547616943717
Epoch 32,2.261000156402588,0.1610537338561899,0.27597504267542383,6.664716258645058,0.16998157347552478,0.3221025066450238
Epoch 33,2.2438511848449707,0.15833377157609294,0.29455152083569625,6.67823189496994,0.16213181801140308,0.2930704113095999
Epoch 34,2.2248659133911133,0.16736160036851103,0.281416192650795,6.7236859649419785,0.16849859105423093,0.29700266709551215
Epoch 35,2.2057583332061768,0.16713463157180727,0.2737014060180018,6.763765677809715,0.15167545736767352,0.30029560858383775
Epoch 36,2.1889660358428955,0.1710286351052795,0.30098499211035373,6.788750246167183,0.16458012722432613,0.3095218758098781
Epoch 37,2.1710007190704346,0.1624968027270685,0.28716743614260604,6.820944577455521,0.15787379164248705,0.298935666680336
Epoch 38,2.1542093753814697,0.1630284797370903,0.2823013049645687,6.846367105841637,0.16625926061533391,0.29772426560521126
Epoch 39,2.137472629547119,0.16089930743213712,0.27920110306636553,6.900461375713348,0.17655715253204107,0.31044932221993804
